case_id,nama_file_asli,no_perkara,pengadilan,jenis_perkara,tanggal_putusan,file_pdf,file_txt,status_ekstraksi,jumlah_halaman,jumlah_kata
case_001,putusan_1104_pid.b_2025_pn_tng_20260626204755.pdf,1104/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_001.pdf,data/raw/text/case_001.txt,berhasil,25,7748
case_002,putusan_1134_pid.b_2025_pn_tng_20260626210203.pdf,1134/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_002.pdf,data/raw/text/case_002.txt,berhasil,43,14182
case_003,putusan_1184_pid.b_2025_pn_tng_20260626205721.pdf,1184/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_003.pdf,data/raw/text/case_003.txt,berhasil,13,4072
case_004,putusan_1185_pid.b_2025_pn_tng_20260626204526.pdf,1185/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_004.pdf,data/raw/text/case_004.txt,berhasil,15,4428
case_005,putusan_118_pid.b_2026_pn_tng_20260626210553.pdf,118/Pid.B/2026/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_005.pdf,data/raw/text/case_005.txt,berhasil,17,5295
case_006,putusan_1194_pid.b_2025_pn_tng_20260626205917.pdf,1194/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_006.pdf,data/raw/text/case_006.txt,berhasil,23,7315
case_007,putusan_1198_pid.b_2025_pn_tng_20260626211138.pdf,1198/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_007.pdf,data/raw/text/case_007.txt,berhasil,25,7847
case_008,putusan_1255_pid.b_2025_pn_tng_20260626210144.pdf,1255/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_008.pdf,data/raw/text/case_008.txt,berhasil,16,4871
case_009,putusan_1260_pid.b_2025_pn_tng_20260626210248.pdf,1260/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_009.pdf,data/raw/text/case_009.txt,berhasil,17,5017
case_010,putusan_1276_pid.b_2025_pn_tng_20260626205427.pdf,1276/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,"18
September 2025",data/raw/pdf/case_010.pdf,data/raw/text/case_010.txt,berhasil,31,9934
case_011,putusan_1312_pid.b_2025_pn_tng_20260626210713.pdf,1312/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,"07
Oktober 2025",data/raw/pdf/case_011.pdf,data/raw/text/case_011.txt,berhasil,19,5425
case_012,putusan_1315_pid.b_2025_pn_tng_20260626210731.pdf,1315/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_012.pdf,data/raw/text/case_012.txt,berhasil,18,5419
case_013,putusan_1337_pid.b_2025_pn_tng_20260626205035.pdf,1337/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_013.pdf,data/raw/text/case_013.txt,berhasil,21,5850
case_014,putusan_1527_pid.b_2025_pn_tng_20260626211157.pdf,1527/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_014.pdf,data/raw/text/case_014.txt,berhasil,23,6883
case_015,putusan_1562_pid.b_2025_pn_tng_20260626210957.pdf,1562/Pid.B/2025/PN.Tng,Pengadilan Negeri Tangerang,Pidana Umum - Pencurian,,data/raw/pdf/case_015.pdf,data/raw/text/case_015.txt,berhasil,18,5232
