case_id,no_perkara,tanggal_putusan,pengadilan,jenis_perkara,sumber_url,raw_file,status_download,jumlah_kata
case_001,1022/Pid.B/2010/PN.TNG,14 Juli 2010,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/02d8373b52a74b64cb2b509e597ab22e.html,case_001.txt,berhasil_list_html,80
case_002,497 / PID.B / 2014 / PN.TNG.,19 Mei 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/8759143bae7fc4503fe79b069b2b8b1b.html,case_002.txt,berhasil_list_html,322
case_003,1885 /Pid.B/2011/PN.TNG,15 Desember 2011,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/6c202caab5f21bbfbb02c645b1e120b1.html,case_003.txt,berhasil_list_html,123
case_004,1073/Pid.B/2019/PN Tng,10 Juli 2019,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/3ef0dd933715a8193d2f3eb06a2f5cf1.html,case_004.txt,berhasil_list_html,213
case_005,678/ PID.B/ 2011/ PN TNG,8 Mei 2012,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/18665f313e4f85241b5592b8d5212fa2.html,case_005.txt,berhasil_list_html,342
case_006,1527/Pid.B/2014/PN.TNG,16 September 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/a1494e35aeb849e79506ae4ca8c28be2.html,case_006.txt,berhasil_list_html,276
case_007,834 / Pid.B / 2017 / PN.TNG.,15 Juni 2017,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/f00d054e938e4c0c46bc04ca0cdc973d.html,case_007.txt,berhasil_list_html,263
case_008,2000/Pid.B/2017/PN.Tng,16 Nopember 2017,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/04ad52268ca0dad8d4bb28edf1b88c52.html,case_008.txt,berhasil_list_html,349
case_009,2497/Pid.B/2018/PN Tng,10 Januari 2019,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/2ec4a38929c18f44ab0e3893ecdd3020.html,case_009.txt,berhasil_list_html,73
case_010,329/Pid.B/2019/PN Tng,1 April 2019,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/1927e380e77376c28fcc56bec49431a4.html,case_010.txt,berhasil_list_html,335
case_011,976/Pid.B/2022/PN Tng,10 Agustus 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed1ecc94bf613ebb5c313530353533.html,case_011.txt,berhasil_list_html,64
case_012,159/Pid.B/2022/PN Tng,15 Maret 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaeca5d173b3ce2282ba313630353534.html,case_012.txt,berhasil_list_html,97
case_013,2013/Pid.B/2021/PN Tng,9 Februari 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec8a47bfe91932a8d3313530323130.html,case_013.txt,berhasil_list_html,61
case_014,960/Pid.B/2022/PN Tng,2 Agustus 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed1240ef069f92a5a6313535363031.html,case_014.txt,berhasil_list_html,117
case_015,1427/Pid.B/2022/PN Tng,16 Nopember 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed748157d4a90492eb313634333539.html,case_015.txt,berhasil_list_html,92
case_016,1176/Pid.B/2018/PN Tng,19 Juli 2018,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/0da4d46117db2e9b1568b5dfe9f38697.html,case_016.txt,berhasil_list_html,373
case_017,586/Pid.B/2019/PN Tng,16 Mei 2019,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/08310eb6ee84116780cee64575f7054e.html,case_017.txt,berhasil_list_html,307
case_018,2203/PID.B/2014/PN. TNG,6 Januari 2015,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/84cb49872067c701cfdf1ec9ba18e2d7.html,case_018.txt,berhasil_list_html,306
case_019,1347 / PID.B / 2014 / PN.TNG.,20 Agustus 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/a3aedfdaa5c381abd8efe3088559cfb4.html,case_019.txt,berhasil_list_html,372
