query_id,query,rank,case_id,no_perkara,solution_label,similarity_score
sample_001,pencurian dalam keadaan memberatkan mengambil barang milik orang lain secara melawan hukum,1,case_005,118/Pid.B/2026/PN.Tng,Pidana Penjara 7-12 Bulan,0.08842
sample_001,pencurian dalam keadaan memberatkan mengambil barang milik orang lain secara melawan hukum,2,case_027,1821/Pid.B/2024/PN.Tng,Pidana Tidak Teridentifikasi,0.088239
sample_001,pencurian dalam keadaan memberatkan mengambil barang milik orang lain secara melawan hukum,3,case_003,1184/Pid.B/2025/PN.Tng,Pidana Penjara > 12 Bulan,0.067646
sample_001,pencurian dalam keadaan memberatkan mengambil barang milik orang lain secara melawan hukum,4,case_040,617/Pid.B/2026/PN.Tng,Pidana Penjara > 12 Bulan,0.066342
sample_001,pencurian dalam keadaan memberatkan mengambil barang milik orang lain secara melawan hukum,5,case_032,1892/Pid.B/2024/PN.Tng,Pidana Penjara > 12 Bulan,0.064807
sample_002,terdakwa mengambil sepeda motor atau barang milik korban tanpa izin,1,case_002,1134/Pid.B/2025/PN.Tng,Pidana Penjara > 12 Bulan,0.160493
sample_002,terdakwa mengambil sepeda motor atau barang milik korban tanpa izin,2,case_027,1821/Pid.B/2024/PN.Tng,Pidana Tidak Teridentifikasi,0.153592
sample_002,terdakwa mengambil sepeda motor atau barang milik korban tanpa izin,3,case_025,1800/Pid.B/2024/PN.Tng,Pidana Penjara > 12 Bulan,0.143247
sample_002,terdakwa mengambil sepeda motor atau barang milik korban tanpa izin,4,case_038,465/Pid.B/2026/PN.Tng,Pidana Penjara > 12 Bulan,0.122193
sample_002,terdakwa mengambil sepeda motor atau barang milik korban tanpa izin,5,case_036,1960/Pid.B/2025/PN.Tng,Pidana Penjara > 12 Bulan,0.119375
sample_003,pencurian dilakukan oleh dua orang atau lebih dengan cara merusak atau masuk rumah,1,case_021,1715/Pid.B/2024/PN.Tng,Pidana Penjara > 12 Bulan,0.083598
sample_003,pencurian dilakukan oleh dua orang atau lebih dengan cara merusak atau masuk rumah,2,case_027,1821/Pid.B/2024/PN.Tng,Pidana Tidak Teridentifikasi,0.080829
sample_003,pencurian dilakukan oleh dua orang atau lebih dengan cara merusak atau masuk rumah,3,case_025,1800/Pid.B/2024/PN.Tng,Pidana Penjara > 12 Bulan,0.076578
sample_003,pencurian dilakukan oleh dua orang atau lebih dengan cara merusak atau masuk rumah,4,case_013,1337/Pid.B/2025/PN.Tng,Pidana Penjara > 12 Bulan,0.075492
sample_003,pencurian dilakukan oleh dua orang atau lebih dengan cara merusak atau masuk rumah,5,case_032,1892/Pid.B/2024/PN.Tng,Pidana Penjara > 12 Bulan,0.074171
