case_001 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/920f583c6a4c4c1e857abd142bcaae4c.html
case_002 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec79c6b87c3daa8982313435383134.html
case_003 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed970b08fe45feb40e313533353136.html
case_004 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/bd7607df513ced610ce107010c47cc1b.html
case_005 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/adba62392c732ab4baa77debec9bbd72.html
case_006 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/854b1ce2c8150c85537665183232c221.html
case_007 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/ae04fe178665082c029a9b8bab0f2e4a.html
case_008 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/25a935db4781ac365604657c7a16d549.html
case_009 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/02d8373b52a74b64cb2b509e597ab22e.html
case_010 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/8759143bae7fc4503fe79b069b2b8b1b.html
case_011 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/6c202caab5f21bbfbb02c645b1e120b1.html
case_012 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/3ef0dd933715a8193d2f3eb06a2f5cf1.html
case_013 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/18665f313e4f85241b5592b8d5212fa2.html
case_014 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/a1494e35aeb849e79506ae4ca8c28be2.html
case_015 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/f00d054e938e4c0c46bc04ca0cdc973d.html
case_016 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/04ad52268ca0dad8d4bb28edf1b88c52.html
case_017 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/2ec4a38929c18f44ab0e3893ecdd3020.html
case_018 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/1a2dbe4dff7e10c16022d7d40f3b8d54.html
case_019 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/1927e380e77376c28fcc56bec49431a4.html
case_020 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed1ecc94bf613ebb5c313530353533.html
case_021 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16cab4e3a9c5cb8ef323032343033.html
case_022 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16cab4c54b6fcbc41323032343030.html
case_023 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf16cab4a5d78e89838323032333536.html
case_024 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/08310eb6ee84116780cee64575f7054e.html
case_025 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/84cb49872067c701cfdf1ec9ba18e2d7.html
case_026 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaef333448cd3426a003303334383332.html
case_027 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/5447530578b1a72d2ab822129b791116.html
case_028 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/a3aedfdaa5c381abd8efe3088559cfb4.html
case_029 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/af8fac0ea6bf31bb3475f4a607d8f0b7.html
case_030 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaedfadf877aa55c8478313633353437.html
case_031 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaef3327a10bcfc4a212303231373537.html
case_032 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec527fe57c45ac863c313532333030.html
case_033 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec47891274e3d6889b313633303538.html
case_034 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed38c2290e398c9854313535363438.html
case_035 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed803e5dbc637a802e313531343436.html
case_036 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed708d0c8782529978313535373432.html
case_037 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec7cbf4158b9c8bc31303934323231.html
case_038 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec6ed1abbff3e08ad8313631383535.html
case_039 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaecbafe85947050b5c0313435313236.html
case_040 | gagal_403 | 0 kata | https://putusan3.mahkamahagung.go.id/direktori/putusan/zaecf918e98122fe867a313533363333.html
